"Invoice _ID",cogs,tax_12%,revenue,gross_margin_per
593-14-4239,763.68,91.64,855.32,10.714
593-65-1552,279.24,33.51,312.75,10.715
593-95-4461,74.86,8.98,83.84,10.711
594-34-4444,97.16,11.66,108.82,10.715
595-11-5460,193.16,23.18,216.34,10.715
595-27-4851,379.96,45.6,425.56,10.715
595-86-2894,387.92,46.55,434.47,10.714
595-94-9924,138.65,16.64,155.29,10.715
596-42-3999,127.54,15.3,142.84,10.711
597-78-7908,270.66,32.48,303.14,10.715
598-06-7312,91.35,10.96,102.31,10.713
598-47-9715,336.28,40.35,376.63,10.713
600-38-9738,359.6,43.15,402.75,10.714
602-16-6955,766,91.92,857.92,10.714
602-80-9671,95.7,11.48,107.18,10.711
603-07-0961,373.95,44.87,418.82,10.713
604-70-6476,89.7,10.76,100.46,10.711
605-03-2706,47.4,5.69,53.09,10.718
605-72-4132,755.76,90.69,846.45,10.714
605-83-1050,54.36,6.52,60.88,10.71
606-80-4905,114.9,13.79,128.69,10.716
607-65-2441,819.5,98.34,917.84,10.714
607-76-6216,462.45,55.49,517.94,10.714
608-04-3797,202.56,24.31,226.87,10.715
608-05-3804,39.75,4.77,44.52,10.714
608-27-6295,317.34,38.08,355.42,10.714
608-96-3517,366.16,43.94,410.1,10.714
609-81-8548,224.64,26.96,251.6,10.715
610-46-4100,202.65,24.32,226.97,10.715
612-36-5536,647.68,77.72,725.4,10.714
613-59-9758,143.6,17.23,160.83,10.713
616-24-2851,71.48,8.58,80.06,10.717
616-87-0016,668.78,80.25,749.03,10.714
617-15-4209,30.74,3.69,34.43,10.717
618-34-8551,186.36,22.36,208.72,10.713
620-02-2046,138.8,16.66,155.46,10.717
622-20-1945,39.42,4.73,44.15,10.713
624-01-8356,490.1,58.81,548.91,10.714
626-43-7888,483.28,57.99,541.27,10.714
627-95-3243,699.12,83.89,783.01,10.714
628-34-3388,164.28,19.71,183.99,10.713
628-90-8624,825.8,99.1,924.9,10.715
629-42-4133,174.4,20.93,195.33,10.715
630-74-5166,372.78,44.73,417.51,10.714
631-34-1880,72.93,8.75,81.68,10.713
631-41-3108,324.31,38.92,363.23,10.715
632-32-4574,607.36,72.88,680.24,10.714
632-90-0281,375.5,45.06,420.56,10.714
633-09-3463,142.95,17.15,160.1,10.712
633-44-8566,345.66,41.48,387.14,10.714
633-91-1052,24.06,2.89,26.95,10.724
634-97-8956,98.7,11.84,110.54,10.711
635-28-5728,168,20.16,188.16,10.714
635-40-6220,716.8,86.02,802.82,10.715
636-17-0325,250.28,30.03,280.31,10.713
636-48-8204,172.8,20.74,193.54,10.716
636-98-3364,78.78,9.45,88.23,10.711
638-60-7125,796.48,95.58,892.06,10.715
639-76-1242,202.6,24.31,226.91,10.713
640-48-5028,795.51,95.46,890.97,10.714
640-49-2076,670.24,80.43,750.67,10.714
641-43-2399,102.2,12.26,114.46,10.711
641-51-2661,871,104.52,975.52,10.714
641-62-7288,599.52,71.94,671.46,10.714
641-96-3695,260.76,31.29,292.05,10.714
642-30-6693,327.06,39.25,366.31,10.715
642-32-2990,109.6,13.15,122.75,10.713
642-61-4706,186.8,22.42,209.22,10.716
643-38-7867,97.94,11.75,109.69,10.712
645-44-1170,522.63,62.72,585.35,10.715
645-78-8093,186.28,22.35,208.63,10.713
647-50-1224,294.2,35.3,329.5,10.713
648-83-1321,635.6,76.27,711.87,10.714
648-94-3045,589.5,70.74,660.24,10.714
649-11-3678,206.37,24.76,231.13,10.713
649-29-6775,33.52,4.02,37.54,10.709
650-98-6268,62.61,7.51,70.12,10.71
651-61-0874,184.88,22.19,207.07,10.716
651-88-7328,591.66,71,662.66,10.714
651-96-5970,46.41,5.57,51.98,10.716
652-43-6591,778.32,93.4,871.72,10.714
652-49-6720,60.95,7.31,68.26,10.709
655-07-2265,234.93,28.19,263.12,10.714
655-85-5130,153.2,18.38,171.58,10.712
656-16-1063,139.26,16.71,155.97,10.714
656-95-9349,482.51,57.9,540.41,10.714
658-66-3967,372.33,44.68,417.01,10.714
659-36-1684,399.84,47.98,447.82,10.714
659-65-8956,51.36,6.16,57.52,10.709
660-29-7083,558.7,67.04,625.74,10.714
662-47-5456,351.9,42.23,394.13,10.715
662-72-2873,204.7,24.56,229.26,10.713
663-86-9076,548.32,65.8,614.12,10.715
664-14-2882,52.65,6.32,58.97,10.717
665-32-9167,72.52,8.7,81.22,10.712
665-63-9737,157.26,18.87,176.13,10.714
667-23-5919,483.5,58.02,541.52,10.714
667-92-0055,598.98,71.88,670.86,10.715
668-90-8900,655.83,78.7,734.53,10.714
669-54-1719,113.58,13.63,127.21,10.715
670-71-7306,267.78,32.13,299.91,10.713
670-79-6321,662.13,79.46,741.59,10.715
672-51-8681,599.85,71.98,671.83,10.714
674-15-9296,185.7,22.28,207.98,10.713
674-56-6360,95.15,11.42,106.57,10.716
676-10-2200,53.78,6.45,60.23,10.709
676-39-6028,322.2,38.66,360.86,10.713
677-11-0152,839.34,100.72,940.06,10.714
678-79-0726,815.67,97.88,913.55,10.714
679-22-6530,81.24,9.75,90.99,10.715
685-64-1609,301.4,36.17,337.57,10.715
686-41-0932,69.4,8.33,77.73,10.717
687-15-1097,42.24,5.07,47.31,10.717
687-47-8271,989.8,118.78,1108.58,10.715
689-05-1884,486.3,58.36,544.66,10.715
689-16-9784,280.62,33.67,314.29,10.713
690-01-6631,174.9,20.99,195.89,10.715
692-27-8933,347.7,41.72,389.42,10.713
692-92-5582,164.52,19.74,184.26,10.713
695-09-5146,296.37,35.56,331.93,10.713
695-28-6250,215.3,25.84,241.14,10.716
695-51-0018,139.36,16.72,156.08,10.712
696-90-2548,77.52,9.3,86.82,10.712
698-98-5964,812.1,97.45,909.55,10.714
699-01-4164,166,19.92,185.92,10.714
699-14-3026,597.73,71.73,669.46,10.715
699-88-1972,793.28,95.19,888.47,10.714
700-81-1757,131.55,15.79,147.34,10.717
701-23-5550,155.24,18.63,173.87,10.715
701-69-8742,343.7,41.24,384.94,10.713
702-72-0487,93.22,11.19,104.41,10.717
702-83-5291,898.38,107.81,1006.19,10.715
704-10-4056,181.41,21.77,203.18,10.715
704-11-6354,471.2,56.54,527.74,10.714
704-20-4138,207.69,24.92,232.61,10.713
704-48-3927,886.7,106.4,993.1,10.714
706-36-6154,174.24,20.91,195.15,10.715
707-32-7409,382.16,45.86,428.02,10.714
709-58-4068,410.9,49.31,460.21,10.715
710-46-4433,696.6,83.59,780.19,10.714
711-31-1234,382.56,45.91,428.47,10.715
712-39-0363,249.96,30,279.96,10.716
714-02-3114,197.6,23.71,221.31,10.713
715-20-1673,141.9,17.03,158.93,10.715
716-39-1409,212.45,25.49,237.94,10.713
717-96-4189,212.94,25.55,238.49,10.713
718-57-9773,493.3,59.2,552.5,10.715
719-76-3868,377.04,45.24,422.28,10.713
719-89-8991,457.05,54.85,511.9,10.715
720-72-2436,266.08,31.93,298.01,10.714
721-86-6247,507.36,60.88,568.24,10.714
722-13-2115,42.85,5.14,47.99,10.711
725-32-9708,274.84,32.98,307.82,10.714
725-54-0677,599.2,71.9,671.1,10.714
725-56-0833,323.2,38.78,361.98,10.713
725-67-2480,352.5,42.3,394.8,10.714
725-96-3778,714,85.68,799.68,10.714
726-27-2396,387.5,46.5,434,10.714
726-29-6793,193.44,23.21,216.65,10.713
727-02-1313,31.84,3.82,35.66,10.712
727-17-0390,318.05,38.17,356.22,10.715
727-46-3608,180.09,21.61,201.7,10.714
727-75-6477,115.36,13.84,129.2,10.712
728-47-9078,238.36,28.6,266.96,10.713
728-88-7867,302.12,36.25,338.37,10.713
729-06-2010,724.23,86.91,811.14,10.715
729-09-9681,155.46,18.66,174.12,10.717
729-46-7422,35.89,4.31,40.2,10.721
730-50-9884,581.42,69.77,651.19,10.714
730-61-8757,204.52,24.54,229.06,10.713
730-70-9830,420.66,50.48,471.14,10.714
731-14-2199,355.4,42.65,398.05,10.715
731-59-7531,580.56,69.67,650.23,10.715
731-81-9469,898,107.76,1005.76,10.714
732-04-5373,185.88,22.31,208.19,10.716
732-67-5346,68.95,8.27,77.22,10.71
732-94-0499,416.5,49.98,466.48,10.714
733-01-9107,496.2,59.54,555.74,10.714
733-29-1227,389.27,46.71,435.98,10.714
733-33-4967,166.8,20.02,186.82,10.716
734-91-1155,137.13,16.46,153.59,10.717
735-06-4124,48.61,5.83,54.44,10.709
735-32-9839,789.6,94.75,884.35,10.714
737-88-5876,93.16,11.18,104.34,10.715
740-11-5257,247.4,29.69,277.09,10.715
740-22-2500,252.15,30.26,282.41,10.715
741-73-3559,336.35,40.36,376.71,10.714
742-04-5161,727.8,87.34,815.14,10.715
743-04-1105,874.98,105,979.98,10.715
743-88-1662,668.43,80.21,748.64,10.714
744-02-5987,470.28,56.43,526.71,10.714
744-09-5786,132.06,15.85,147.91,10.716
744-16-7898,973.7,116.84,1090.54,10.714
744-82-9138,172.26,20.67,192.93,10.714
745-71-3520,176.54,21.18,197.72,10.712
745-74-0715,116.06,13.93,129.99,10.716
746-04-1077,846.3,101.56,947.86,10.715
746-19-0921,21.58,2.59,24.17,10.716
746-54-5508,129.12,15.49,144.61,10.712
746-68-6593,174.32,20.92,195.24,10.715
746-94-0204,749.16,89.9,839.06,10.714
747-58-7183,171.81,20.62,192.43,10.716
748-45-2862,113.24,13.59,126.83,10.715
749-24-1565,207.27,24.87,232.14,10.713
749-81-8133,378.68,45.44,424.12,10.714
750-57-9686,181.52,21.78,203.3,10.713
750-67-8428,522.83,62.74,585.57,10.714
751-15-6198,138.06,16.57,154.63,10.716
751-41-9720,975,117,1092,10.714
751-69-0068,893.16,107.18,1000.34,10.714
752-23-3760,448.56,53.83,502.39,10.715
755-12-3214,221.1,26.53,247.63,10.714
756-01-7507,101.9,12.23,114.13,10.716
756-49-0168,19.7,2.36,22.06,10.698
756-93-1854,166.7,20,186.7,10.712
759-29-9521,440.64,52.88,493.52,10.715
759-98-4285,601.09,72.13,673.22,10.714
760-27-5490,124.96,15,139.96,10.717
760-53-9233,123.84,14.86,138.7,10.714
760-54-1821,122.31,14.68,136.99,10.716
760-90-2357,447.06,53.65,500.71,10.715
761-49-0439,96.8,11.62,108.42,10.718
764-44-8999,29.52,3.54,33.06,10.708
765-26-6951,435.66,52.28,487.94,10.714
766-85-7061,878.7,105.44,984.14,10.714
767-05-1286,502.62,60.31,562.93,10.714
767-54-1907,147.8,17.74,165.54,10.716
767-97-4650,129.66,15.56,145.22,10.715
770-42-8960,168.96,20.28,189.24,10.717
775-72-1988,366.4,43.97,410.37,10.715
776-68-1096,132.36,15.88,148.24,10.712
777-67-2495,206.91,24.83,231.74,10.715
777-82-7220,240.96,28.92,269.88,10.716
778-34-2523,388.96,46.68,435.64,10.715
778-71-5554,15.43,1.85,17.28,10.706
778-89-7974,421.26,50.55,471.81,10.714
779-06-0012,88.61,10.63,99.24,10.711
779-42-2410,173.22,20.79,194.01,10.716
781-84-8059,425.18,51.02,476.2,10.714
782-95-9291,461.45,55.37,516.82,10.714
783-09-1637,337.15,40.46,377.61,10.715
784-08-0310,84.16,10.1,94.26,10.715
784-21-9238,10.17,1.22,11.39,10.711
785-13-7708,511.42,61.37,572.79,10.714
785-96-0615,285.92,34.31,320.23,10.714
786-94-2700,483.72,58.05,541.77,10.715
787-15-1757,176.28,21.15,197.43,10.713
787-56-0757,321.44,38.57,360.01,10.714
787-87-2010,222,26.64,248.64,10.714
788-07-8452,169.68,20.36,190.04,10.714
788-21-5741,136.14,16.34,152.48,10.716
789-23-8625,279.66,33.56,313.22,10.715
790-29-1172,172.02,20.64,192.66,10.713
790-38-4466,54.95,6.59,61.54,10.708
793-10-3222,246.36,29.56,275.92,10.713
794-32-2436,111.34,13.36,124.7,10.714
794-42-3736,66.66,8,74.66,10.715
795-49-7276,148.6,17.83,166.43,10.713
796-12-2025,621.2,74.54,695.74,10.714
796-32-9050,307.68,36.92,344.6,10.714
797-88-0493,257.08,30.85,287.93,10.714
799-71-1548,310.88,37.31,348.19,10.715
800-09-8606,436.85,52.42,489.27,10.714
801-88-0346,228.18,27.38,255.56,10.714
802-43-8934,18.28,2.19,20.47,10.699
802-70-5316,552.78,66.33,619.11,10.714
803-17-8013,710.32,85.24,795.56,10.714
803-83-5989,334.38,40.13,374.51,10.715
804-38-3935,281.34,33.76,315.1,10.714
805-86-0265,845.64,101.48,947.12,10.715
807-14-7833,174.2,20.9,195.1,10.712
807-34-3742,52.38,6.29,58.67,10.721
808-65-0703,141.88,17.03,158.91,10.717
809-46-1866,232.6,27.91,260.51,10.714
809-69-9497,456.8,54.82,511.62,10.715
810-60-6344,326.88,39.23,366.11,10.715
811-03-8790,454.8,54.58,509.38,10.715
811-35-1094,302.7,36.32,339.02,10.713
815-04-6282,324.85,38.98,363.83,10.714
815-11-1168,498.9,59.87,558.77,10.715
816-57-2053,121.74,14.61,136.35,10.715
816-72-8853,139.65,16.76,156.41,10.715
817-48-8732,723.5,86.82,810.32,10.714
817-69-8206,897.57,107.71,1005.28,10.714
821-07-3596,65.8,7.9,73.7,10.719
821-14-9046,104.88,12.59,117.47,10.718
824-88-3614,274.48,32.94,307.42,10.715
825-94-5922,50.62,6.07,56.69,10.707
826-58-8051,248.76,29.85,278.61,10.714
827-26-2100,304.56,36.55,341.11,10.715
827-44-5872,543.6,65.23,608.83,10.714
827-77-7633,882.81,105.94,988.75,10.715
828-46-6863,591.18,70.94,662.12,10.714
828-61-5674,440.2,52.82,493.02,10.714
829-34-3910,713.8,85.66,799.46,10.715
829-49-1914,783.1,93.97,877.07,10.714
830-58-2383,127,15.24,142.24,10.714
831-07-6050,163.55,19.63,183.18,10.716
831-64-0259,198.75,23.85,222.6,10.714
831-81-6575,680.31,81.64,761.95,10.715
832-51-6761,271.04,32.52,303.56,10.713
834-25-9262,326.72,39.21,365.93,10.715
834-45-5519,172,20.64,192.64,10.714
834-61-8124,361.83,43.42,405.25,10.714
834-83-1826,410.2,49.22,459.42,10.714
835-16-0096,73.5,8.82,82.32,10.714
836-82-5858,624.33,74.92,699.25,10.714
837-55-7229,47.44,5.69,53.13,10.71
838-02-1821,25.46,3.06,28.52,10.729
838-78-4295,66.94,8.03,74.97,10.711
840-19-2096,439.55,52.75,492.3,10.715
840-76-5966,25.52,3.06,28.58,10.707
841-18-8232,71.2,8.54,79.74,10.71
841-35-6630,455.46,54.66,510.12,10.715
842-29-4695,119.98,14.4,134.38,10.716
842-40-8179,772,92.64,864.64,10.714
843-01-4703,318.42,38.21,356.63,10.714
843-73-4724,74.1,8.89,82.99,10.712
845-51-0542,418.95,50.27,469.22,10.714
845-94-6841,655.92,78.71,734.63,10.714
846-10-0341,297.99,35.76,333.75,10.715
847-38-7188,290.04,34.8,324.84,10.713
848-07-1692,114.44,13.73,128.17,10.712
848-24-9445,87.4,10.49,97.89,10.716
848-42-2560,163.82,19.66,183.48,10.715
848-62-7243,224.01,26.88,250.89,10.714
848-95-6252,86.27,10.35,96.62,10.712
849-09-3807,618.38,74.21,692.59,10.715
850-41-9669,675.54,81.06,756.6,10.714
851-28-6367,155,18.6,173.6,10.714
851-98-3555,414.4,49.73,464.13,10.715
852-62-7105,832.5,99.9,932.4,10.714
852-82-2749,258.36,31,289.36,10.713
853-23-2453,302.96,36.36,339.32,10.716
856-22-8149,25.29,3.03,28.32,10.699
856-66-2701,159.9,19.19,179.09,10.715
857-16-3520,500.22,60.03,560.25,10.715
857-67-9057,229.5,27.54,257.04,10.714
859-71-0933,30.98,3.72,34.7,10.72
859-97-6048,168.5,20.22,188.72,10.714
860-73-6466,78.94,9.47,88.41,10.711
860-79-0874,993,119.16,1112.16,10.714
861-77-0145,819.7,98.36,918.06,10.714
862-17-9201,504.3,60.52,564.82,10.715
862-29-5914,22.38,2.69,25.07,10.73
862-59-8517,541.44,64.97,606.41,10.714
864-24-7918,244.9,29.39,274.29,10.715
865-41-9075,80.71,9.69,90.4,10.719
865-92-6136,158.25,18.99,177.24,10.714
866-05-7563,244.2,29.3,273.5,10.713
866-70-2814,527.9,63.35,591.25,10.715
866-99-7614,892,107.04,999.04,10.714
867-47-1948,158,18.96,176.96,10.714
868-06-0466,626.22,75.15,701.37,10.715
868-52-7573,498.45,59.81,558.26,10.714
868-81-1752,198.18,23.78,221.96,10.714
869-11-3082,384.64,46.16,430.8,10.715
870-54-3162,161.25,19.35,180.6,10.714
870-72-4431,595.14,71.42,666.56,10.715
870-76-1733,71.15,8.54,79.69,10.717
871-39-9221,74.7,8.96,83.66,10.71
871-79-8483,470.65,56.48,527.13,10.715
873-14-6353,173.74,20.85,194.59,10.715
873-51-0671,153.86,18.46,172.32,10.713
873-95-4984,538.3,64.6,602.9,10.715
875-31-8302,93.38,11.21,104.59,10.718
875-46-5808,259,31.08,290.08,10.714
877-22-3308,158.7,19.04,177.74,10.712
878-30-2331,545.5,65.46,610.96,10.714
880-35-0356,225.6,27.07,252.67,10.714
880-46-5796,769.2,92.3,861.5,10.714
881-41-7302,64.99,7.8,72.79,10.716
882-40-4577,269.04,32.28,301.32,10.713
883-17-4236,28.78,3.45,32.23,10.704
883-69-1285,99.84,11.98,111.82,10.714
884-80-6021,734.7,88.16,822.86,10.714
885-17-6250,79.74,9.57,89.31,10.715
885-56-0389,52.35,6.28,58.63,10.711
886-18-2897,282.8,33.94,316.74,10.715
886-54-6089,68.58,8.23,76.81,10.715
886-77-9084,575.12,69.01,644.13,10.714
887-42-0517,581.98,69.84,651.82,10.715
888-02-0338,236.07,28.33,264.4,10.715
889-04-9723,356.56,42.79,399.35,10.715
891-01-7034,448.26,53.79,502.05,10.714
891-58-8335,207.27,24.87,232.14,10.713
892-05-6689,141.6,16.99,158.59,10.713
894-41-5205,345.44,41.45,386.89,10.714
895-03-6665,328.59,39.43,368.02,10.714
895-66-0685,54.24,6.51,60.75,10.716
896-34-0956,21.32,2.56,23.88,10.72
898-04-2717,687.6,82.51,770.11,10.714
